name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
dubai,2023-03-09T00:00:00,78.5,78.5,44.4,29.9,0,0,,0,0,9.6,5.8,90,1014,85.4,6.2,12,0,0,10,Partially cloudy,partly-cloudy-night,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
dubai,2023-03-09T01:00:00,76.8,76.8,46,33.64,0,0,,0,0,11.6,4.6,91,1013.1,25.4,6.2,92,0.3,0,10,Partially cloudy,partly-cloudy-night,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
dubai,2023-03-09T02:00:00,76.6,76.6,44.5,31.9,0,0,,0,0,12.8,5.8,91,1013,99.2,6.2,337,1.2,0,10,Overcast,cloudy,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
dubai,2023-03-09T03:00:00,76.7,76.7,42.8,29.83,0,0,,0,0,12.1,3.4,120,1012,99.7,6.2,556,2,0,10,Overcast,cloudy,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
dubai,2023-03-09T04:00:00,76.5,76.5,42.9,30.12,0,0,,,0,9.6,3.3,121,1012.1,30,6.2,746,2.7,0,10,Partially cloudy,partly-cloudy-night,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
dubai,2023-03-09T05:00:00,74.8,74.8,46.3,36.28,0,0,,0,0,7.6,4.6,71,1012,39.9,6.2,892,3.2,0,10,Partially cloudy,partly-cloudy-night,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
dubai,2023-03-09T06:00:00,73.1,73.1,49.7,43.58,0,0,,0,0,6,3.4,71,1013,33.8,6.2,991,3.6,0,10,Partially cloudy,partly-cloudy-night,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
dubai,2023-03-09T07:00:00,74.7,74.7,51.4,44.16,0,0,,0,0,7.2,4.7,160,1014.1,30.5,6.2,982,3.5,10,10,Partially cloudy,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
dubai,2023-03-09T08:00:00,75,75,51.5,43.77,0,0,,0,0,9.6,6.9,61,1014,0,6.2,889,3.2,9,10,Clear,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
dubai,2023-03-09T09:00:00,80.6,79.5,46.2,29.98,0,0,,0,0,11,5.9,122,1015,0,6.2,740,2.7,7,10,Clear,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
dubai,2023-03-09T10:00:00,85.9,83.3,47.9,26.88,0,0,,0,0,11.4,8.2,170,1015.2,9.8,6.2,556,2,6,10,Clear,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
dubai,2023-03-09T11:00:00,89.6,86.4,48,23.99,0,0,,0,0,8.9,11.4,181,1015,0,6.2,336,1.2,3,10,Clear,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
dubai,2023-03-09T12:00:00,93.2,89.5,46.1,19.93,0,0,,0,0,7.8,12.7,190,1015,0,5,105,0.4,1,10,Clear,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
dubai,2023-03-09T13:00:00,94.9,90.7,42.4,16.46,0,0,,0,0,8.1,8,209,1014,40,6.2,11,0,0,10,Partially cloudy,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
dubai,2023-03-09T14:00:00,91.3,89.9,56.8,31.33,0,0,,0,0,9.6,11.4,329,1013,5,6.2,872,3.1,9,5,Clear,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999"
dubai,2023-03-09T15:00:00,89.6,87.7,55,31.01,0,0,,0,0,11,12.7,319,1012,79.9,6.2,761,2.7,8,5,Partially cloudy,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999"
dubai,2023-03-09T16:00:00,89.5,86.9,51.8,27.73,0,0,,0,0,12.5,12.7,338,1012.1,30,6.2,549,2,5,5,Partially cloudy,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999"
dubai,2023-03-09T17:00:00,89.5,86.6,49.9,25.73,0,0,,0,0,14.1,12.7,340,1012,10.8,6.2,332,1.2,3,5,Clear,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999"
dubai,2023-03-09T18:00:00,87.7,85,50,27.41,0,0,,0,0,15.7,9.2,19,1012,0,6.2,139,0.5,1,5,Clear,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999"
dubai,2023-03-09T19:00:00,85.7,83.9,53.3,33.05,0,0,,0,0,15.4,10.2,29,1013.1,39.3,6.2,6,0,0,5,Partially cloudy,partly-cloudy-night,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999"
dubai,2023-03-09T20:00:00,85.8,83.7,51.7,31.07,0,0,,0,0,17,5.8,29,1014,100,6.2,0,0,0,3,Overcast,cloudy,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999"
dubai,2023-03-09T21:00:00,84,82.3,51.7,32.9,0,0,,0,0,14.3,6.8,39,1014,99.7,6.2,0,0,0,3,Overcast,cloudy,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999"
dubai,2023-03-09T22:00:00,82.2,80.8,50,32.65,0,0,,0,0,14.3,6.7,71,1014.1,52,6.2,0,0,0,3,Partially cloudy,partly-cloudy-night,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999"
dubai,2023-03-09T23:00:00,82.1,81,51.7,34.83,0,0,,0,0,12.3,4.7,70,1014,100,6.2,0,0,0,3,Overcast,cloudy,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999"
dubai,2023-03-10T00:00:00,82.1,81,51.9,35.17,0,0,,0,0,12.1,5.8,51,1013,100,6.2,9,0,0,5,Overcast,cloudy,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
dubai,2023-03-10T01:00:00,80.3,80.1,53.3,39.39,0,0,,0,0,14.5,3.3,90,1013.1,41.3,6.2,60,0.2,0,5,Partially cloudy,partly-cloudy-night,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
dubai,2023-03-10T02:00:00,80.3,79.9,51.7,37.08,0,0,,0,0,14.5,5.8,70,1012,100,6.2,344,1.2,0,5,Overcast,cloudy,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
dubai,2023-03-10T03:00:00,80.3,79.7,49.9,34.71,0,0,,0,0,16.1,5.8,81,1012,100,6.2,545,2,0,5,Overcast,cloudy,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
dubai,2023-03-10T04:00:00,82,80.4,46.4,28.75,0,0,,,0,19.5,12.6,111,1012.2,61.3,6.2,737,2.7,0,5,Partially cloudy,partly-cloudy-night,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
dubai,2023-03-10T05:00:00,80.3,79.2,44.6,28.45,0,0,,0,0,17.7,8.1,140,1013,100,6.2,866,3.1,0,10,Overcast,cloudy,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
dubai,2023-03-10T06:00:00,77,77,48,36,0,0,,0,0,20.4,10.4,131,1013,100,6.2,934,3.4,0,10,Overcast,cloudy,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
dubai,2023-03-10T07:00:00,78.6,78.6,42.4,27.58,0,0,,0,0,20.4,8.1,172,1014,78.7,6.2,831,3,8,10,Partially cloudy,partly-cloudy-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
dubai,2023-03-10T08:00:00,78.7,78.7,39,24.13,0,0,,0,0,22.8,9.2,161,1014,100,6.2,708,2.5,7,10,Overcast,cloudy,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
dubai,2023-03-10T09:00:00,82.3,80.1,37.3,20.06,0,0,,0,0,20.4,11.5,171,1015,0,6.2,705,2.5,7,10,Clear,clear-day,"OMSJ,41194099999,41194599999,OMDW,OMDB,41196099999,E1978"
